Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Joshi, Bhautik; Fedorov, Andriy; Chrisochoides, Nikos; Ourselin, Sebastien; ",Application-driven quantitative assessment of approaches to mesh generation,2007 4th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,1160-1163,2007,IEEE
"Daga, Pankaj; Modat, Marc; Winston, Gavin; White, Mark; Mancini, Laura; McEvoy, Andrew W; Thornton, John; Yousry, Tarek; Duncan, John S; Ourselin, Sebastien; ",Susceptibility artefact correction by combining B0 field maps and non-rigid registration using graph cuts,Medical Imaging 2013: Image Processing,8669,,74-79,2013,SPIE
"Mahoney, Colin J; Ridgway, Gerard R; Malone, Ian B; Downey, Laura E; Beck, Jonathan; Kinnunen, Kirsi M; Schmitz, Nicole; Golden, Hannah L; Rohrer, Jonathan D; Schott, Jonathan M; ",Profiles of white matter tract pathology in frontotemporal dementia,Human brain mapping,35,8,4163-4179,2014,Wiley Online Library
"Rohrer, Jonathan; Clarkson, Matt; Kittus, Raivo; Rossor, Martin; Ourselin, Sebastien; Warren, Jason; Fox, Nick; ",P1-343 TRACKING PROGRESSION WITH SERIAL MRI IN THE LANGUAGE VARIANTS OF FRONTOTEMPORAL LOBAR DEGENERATION,Alzheimer's & Dementia,7,,S222-S222,2011,The Alzheimer's Association
"Bocchetta, Martina; Gordon, Elizabeth; Marshall, Charles R; Slattery, Catherine F; Cardoso, M Jorge; Cash, David M; Espak, Miklos; Modat, Marc; Ourselin, Sebastien; Frisoni, Giovanni B; ",The habenula: an under-recognised area of importance in frontotemporal dementia?,"Journal of Neurology, Neurosurgery & Psychiatry",87,8,910-912,2016,BMJ Publishing Group Ltd
"Li, Rongxin; Ourselin, Sebastien; ",A marker-induced vector field for reduced sensitivity to initialization for parametric and geometric deformable models,Medical Imaging 2005: Image Processing,5747,,315-325,2005,SPIE
"Burgos, Ninon; Samper-González, Jorge; Cardoso, Jorge M; Durrleman, Stanley; Ourselin, Sébastien; Colliot, Olivier; ",Early Diagnosis of Alzheimer’s Disease Using Subject-Specific Models of FDG-PET Data,AAIC 2017-Alzheimer's Association International Conference,13,7,1-2,2017,
"Allan, Max; Thompson, Steve; Clarkson, Matthew J; Ourselin, Sébastien; Hawkes, David J; Kelly, John; Stoyanov, Danail; ",2D-3D pose tracking of rigid instruments in minimally invasive surgery,"Information Processing in Computer-Assisted Interventions: 5th International Conference, IPCAI 2014, Fukuoka, Japan, June 28, 2014. Proceedings 5",,,1-10,2014,Springer
"Cury, Claire; Lorenzi, Marc M; Cash, David M; Nicholas, Jennifer M; Routier, Alexandre M; Rohrer, Jonathan; Ourselin, Sebastien M; Durrleman, Stanley M; Modat, Marc M; ",Spatio-Temporal Shape Analysis of Cross-Sectional Data for Detection of Early Changes in Neurodegenerative,,,,,,
"Vos, Sjoerd B; Winston, Gavin P; Goodkin, Olivia; Pemberton, Hugh G; Barkhof, Frederik; Prados, Ferran; Galovic, Marian; Koepp, Matthias; Ourselin, Sebastien; Cardoso, M Jorge; ",Hippocampal profiling: localized magnetic resonance imaging volumetry and T2 relaxometry for hippocampal sclerosis,Epilepsia,61,2,297-309,2020,Wiley Online Library
"Kuijf, Hugo J; Biesbroek, J Matthijs; De Bresser, Jeroen; Heinen, Rutger; Andermatt, Simon; Bento, Mariana; Berseth, Matt; Belyaev, Mikhail; Cardoso, M Jorge; Casamitjana, Adria; ",Standardized assessment of automatic segmentation of white matter hyperintensities and results of the WMH segmentation challenge,IEEE transactions on medical imaging,38,11,2556-2568,2019,IEEE
"Powell, Elizabeth; Prados Carrasco, F; Brownlee, Wallace; Kanber, Baris; Collorone, Sara; Ourselin, Sebastien; Ciccarelli, Olga; Toosy, Ahmed; Clayden, Jonathan D; Wheeler-Kingshott, CAM; ",A comparison of subnetwork classification methods,,,,,2018,ISMRM
"Maneas, Efthymios; Xia, Wenfeng; Singh, Mithun Kuniyil Ajith; Sato, Naoto; Agano, Toshitaka; Ourselin, Sebastien; West, Simeon J; David, Anna L; Vercauteren, Tom; Desjardins, Adrien E; ",Human placental vasculature imaging using an LED-based photoacoustic/ultrasound imaging system,Photons Plus Ultrasound: Imaging and Sensing 2018,10494,,69-73,2018,SPIE
"Cardoso, Manuel Jorge; Clarkson, Matthew J; Modat, Marc; Ourselin, Sebastien; ",On the extraction of topologically correct thickness measurements using Khalimsky's cubic complex.,IPMI,,,159-170,2011,
"McLean, D; Barclay, L; Li, Rongxin; Ourselin, S; ",Estimation of paediatric tissue characteristics from CT image analysis,,,,,2005,
"Garcia-Peraza-Herrera, Luis C; Li, Wenqi; Fidon, Lucas; Gruijthuijsen, Caspar; Devreker, Alain; Attilakos, George; Deprest, Jan; Vander Poorten, Emmanuel; Stoyanov, Danail; Vercauteren, Tom; ",Toolnet: holistically-nested real-time segmentation of robotic surgical tools,2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,5717-5722,2017,IEEE
"Fox, Nick C; Ryan, Natalie S; Weston, Philip SJ; Chavez‐Gutierrez, Lucia; Modat, Marc; Cash, David M; Ourselin, Sebastien; Rossor, Martin N; ",[F4–01–04]: NEUROIMAGING AND HETEROGENEITY IN FAMILIAL ALZHEIMER'S DISEASE,Alzheimer's & Dementia,13,7S_Part_25,P1211-P1211,2017,Wiley Online Library
"Xia, Wenfeng; West, Simeon J; Finlay, Malcolm C; Pratt, Rosalind; Mathews, Sunish; Mari, Jean-Martial; Ourselin, Sebastien; David, Anna L; Desjardins, Adrien E; ",Three-dimensional ultrasonic needle tip tracking with a fiber-optic ultrasound receiver,Journal of visualized experiments: JoVE,,138,,2018,MyJoVE Corporation
"Ourselin, Sebastien; David, Anna L; Arridge, Simon; Desjardins, Adrien E; ",Deep Learning for Instrumented Ultrasonic Tracking: From synthetic training data to in vivo application,,,,,,
"Manning, Emily N; Barnes, Josephine; Cash, David M; Bartlett, Jonathan W; Leung, Kelvin K; Ourselin, Sebastien; Fox, Nick C; Alzheimer's Disease NeuroImaging Initiative; ",APOE ε4 is associated with disproportionate progressive hippocampal atrophy in AD,PloS one,9,5,e97608,2014,"Public Library of Science San Francisco, USA"
"Scott, Catherine J; Jiao, Jieqing; Cardoso, M Jorge; Kläser, Kerstin; Melbourne, Andrew; Markiewicz, Pawel J; Schott, Jonathan M; Hutton, Brian F; Ourselin, Sébastien; ",Short acquisition time PET/MR pharmacokinetic modelling using CNNs,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2018: 21st International Conference, Granada, Spain, September 16-20, 2018, Proceedings, Part I",,,48-56,2018,Springer
"Nguyen, Long H; Drew, David A; Graham, Mark S; Joshi, Amit D; Guo, Chuan-Guo; Ma, Wenjie; Mehta, Raaj S; Warner, Erica T; Sikavi, Daniel R; Lo, Chun-Han; ",Risk of COVID-19 among front-line health-care workers and the general community: a prospective cohort study,The Lancet Public Health,5,9,e475-e483,2020,Elsevier
"Taylor, Zeike A; Cheng, Mario; Ourselin, Sébastien; ",High-speed nonlinear finite element analysis for surgical simulation using graphics processing units,IEEE transactions on medical imaging,27,5,650-663,2008,IEEE
"Fripp, Jurgen; Crozier, Stuart; Warfield, Simon K; Ourselin, Sebastien; ",Automatic segmentation of the bone and extraction of the bone–cartilage interface from magnetic resonance images of the knee,Physics in Medicine & Biology,52,6,1617,2007,IOP Publishing
"Modat, Marc; Ridgway, Gerard R; Taylor, Zeike A; Hawkes, Daves J; Fox, Nick C; Ourselin, Sébastien; ",A parallel-friendly normalized mutual information gradient for free-form registration,Medical Imaging 2009: Image Processing,7259,,214-221,2009,SPIE
"Burgos, Ninon; Jorge Cardoso, M; Mendelson, Alex F; Schott, Jonathan M; Atkinson, David; Arridge, Simon R; Hutton, Brian F; Ourselin, Sébastien; ",Subject-specific models for the analysis of pathological FDG PET data,"Medical Image Computing and Computer-Assisted Intervention--MICCAI 2015: 18th International Conference, Munich, Germany, October 5-9, 2015, Proceedings, Part II 18",,,651-658,2015,Springer
"Tur, Carmen; Marschallinger, Robert; Prados, Ferran; Collorone, Sara; Altmann, Daniel R; Ourselin, Sébastien; Wheeler-Kingshott, CAM; Ciccarelli, Olga; ",Linking macrostructural and microstructural damage in early MS: a geostatistical and diffusion MRI study,ISMRM,27,,0090,2018,ISMRM
"Ricciardi, Antonio; Grussu, Francesco; Brownlee, Wallace; Kanber, Baris; Prados Carrasco, F; Collorone, Sara; Kaden, Enrico; Toosy, Ahmed; Ourselin, Sebastien; Ciccarelli, Olga; ",Biophysically meaningful MRI features for accurate classification of multiple sclerosis phenotypes,,,,,2018,ISMRM
"Macdonald, Kate E; Bartlett, Jonathan W; Leung, Kelvin K; Ourselin, Sebastien; Barnes, Josephine; ",The value of hippocampal and temporal horn volumes and rates of change in predicting future conversion to AD,Alzheimer disease and associated disorders,27,2,168,2013,Wolters Kluwer Health
"Cao, Kevin X; Booth, Alice; Ourselin, Sebastien; David, Anna L; Ashcroft, Richard; ","The legal frameworks that govern fetal surgery in the United Kingdom, European Union, and the United States",Prenatal Diagnosis,38,7,475-481,2018,Wiley Online Library
"Cash, David M; Kinnunen, Kirsi M; Weston, Philip SJ; Ryan, Natalie S; Modat, Marc; Bateman, Randall; Morris, John C; Ourselin, Sebastien; Rossor, Martin N; Lee Smith Benzinger, Tammie; ",F5‐02‐02: Longitudinal Atrophy in Autosomal Dominant Ad and Sporadic Ad: Lessons from Dian,Alzheimer's & Dementia,12,,P368-P369,2016,Wiley Online Library
"Canas, Liane S; Yvernault, Benjamin; Sudre, Carole; De Vita, Enrico; Cardoso, M Jorge; Thornton, John; Barkhof, Frederik; Ourselin, Sébastien; Mead, Simon; Modat, Marc; ",Imaging biomarkers for the diagnosis of Prion disease,Medical Imaging 2018: Image Processing,10574,,18-23,2018,SPIE
"Brudfors, Mikael; Balbastre, Yaël; Ashburner, John; Rees, Geraint; Nachev, Parashkev; Ourselin, Sébastien; Cardoso, M Jorge; ",Fitting Segmentation Networks on Varying Image Resolutions Using Splatting,"Medical Image Understanding and Analysis: 26th Annual Conference, MIUA 2022, Cambridge, UK, July 27–29, 2022, Proceedings",,,271-282,2022,Springer
"Molteni, Erika; Astley, Christina M; Ma, Wenjie; Sudre, Carole H; Magee, Laura A; Murray, Benjamin; Fall, Tove; Gomez, Maria F; Tsereteli, Neli; Franks, Paul W; ","SARS-CoV-2 (COVID-19) infection in pregnant women: characterization of symptoms and syndromes predictive of disease and severity through real-time, remote participatory epidemiology",MedRxiv,,,2020.08. 17.20161760,2020,Cold Spring Harbor Laboratory Press
"Pratt, R; Melbourne, A; Owen, D; Sokolska, M; Bainbridge, A; Atkinson, D; Kendall, G; Deprest, J; Vercauteren, T; Ourselin, S; ",OP05. 08: Novel placental evaluation using multimodal MRI,Ultrasound in Obstetrics & Gynecology,50,,62-62,2017,Wiley Online Library
"Grussu, Francesco; Schneider, Torben; Prados, Ferran; Tur, Carmen; Ourselin, Sébastien; Zhang, Hui; Alexander, D; Wheeler-Kingshott, CAMG; ",Axon diameter distribution influences diffusion-derived axonal density estimation in the human spinal cord: in silico and in vivo evidence,,,,,2016,International Society for Magnetic Resonance in Medicine (ISMRM)
"Garcia-Peraza, Luis Carlos; Horgan, Conor; Ourselin, Sebastien; Ebner, Michael; Vercauteren, Tom; ",Hyperspectral image segmentation: a preliminary study on the Oral and Dental Spectral Image Database (ODSI-DB),Frontiers in Robotics and AI,,,,2023,Frontiers Media SA
"Sudre, Carole H; Cardoso, Manuel Jorge; Bouvy, Willem; Biessels, Geert Jan; Barnes, Josephine; Ourselin, Sébastien; ",Bayesian model selection for pathological data,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2014: 17th International Conference, Boston, MA, USA, September 14-18, 2014, Proceedings, Part I 17",,,323-330,2014,Springer
"Diaz-Pinto, Andres; Mehta, Pritesh; Alle, Sachidanand; Asad, Muhammad; Brown, Richard; Nath, Vishwesh; Ihsani, Alvin; Antonelli, Michela; Palkovics, Daniel; Pinter, Csaba; ",DeepEdit: Deep Editable Learning for Interactive Segmentation of 3D Medical Images,"Data Augmentation, Labelling, and Imperfections: Second MICCAI Workshop, DALI 2022, Held in Conjunction with MICCAI 2022, Singapore, September 22, 2022, Proceedings",,,11-21,2022,Springer
"Mufti, Nada; O'Brien, Patrick; Attilakos, George; Sokolska, Magdalena; Narayanan, Priya; Aughwane, Rosalind; Sebire, Neil; Ben-Salha, Imen; Wilkinson, Nafisa; Kendall, Giles; ",Placenta Accreta Spectrum (PAS) Disorders Investigated with Multi-Compartment Placental MRI,,,,,,
"Drew, David A; Nguyen, Long H; Steves, Claire J; Menni, Cristina; Freydin, Maxim; Varsavsky, Thomas; Sudre, Carole H; Cardoso, M Jorge; Ourselin, Sebastien; Wolf, Jonathan; ",Rapid implementation of mobile technology for real-time epidemiology of COVID-19,Science,368,6497,1362-1367,2020,American Association for the Advancement of Science
"Firth, Nicholas C; Primativo, Silvia; Marinescu, Razvan-Valentin; Shakespeare, Timothy J; Suarez-Gonzalez, Aida; Lehmann, Manja; Carton, Amelia; Ocal, Dilek; Pavisic, Ivanna; Paterson, Ross W; ",Longitudinal neuroanatomical and cognitive progression of posterior cortical atrophy,Brain,142,7,2082-2095,2019,Oxford University Press
"Javaux, Allan; Denhaen, Maarten; Hagenimana, Yves; Devreker, Alain; Gruijthuijsen, Caspar; Vercauteren, Tom; Ourselin, Sebastien; Stoyanov, Danail; Deprest, Jan; Reynaerts, Dominiek; ",Estimating The Interaction Forces on the Body-wall During Minimal Invasive Fetal Surgery,Proceedings of the 6th Joint Workshop on New Technologies for Computer/Robot Assisted Surgery,,,110-111,2016,
"Iglesias, Juan Eugenio; Modat, Marc; Peter, Loïc; Stevens, Allison; Annunziata, Roberto; Vercauteren, Tom; Lein, Ed; Fischl, Bruce; Ourselin, Sebastien; Alzheimer’s Disease Neuroimaging Initiative; ",Joint registration and synthesis using a probabilistic model for alignment of MRI and histological sections,Medical image analysis,50,,127-144,2018,Elsevier
"Wang, Guotai; Zuluaga, Maria A; Pratt, Rosalind; Aertsen, Michael; Doel, Tom; Klusmann, Maria; David, Anna L; Deprest, Jan; Vercauteren, Tom; Ourselin, Sébastien; ",Slic-Seg: A minimally interactive segmentation of the placenta from sparse and motion-corrupted fetal MRI in multiple views,Medical image analysis,34,,137-147,2016,Elsevier
"Gourgou-Bourgade, Sophie; Cameron, D; Poortmans, P; Asselain, B; Azria, D; Cardoso, F; A'hern, R; Bliss, J; Bogaerts, J; Bonnefoi, H; ",Guidelines for time-to-event end point definitions in breast cancer trials: results of the DATECAN initiative (Definition for the Assessment of Time-to-event Endpoints in CANcer trials),Annals of Oncology,26,5,873-879,2015,Elsevier
"Grussu, Francesco; Veraart, Jelle; Battiston, Marco; Schneider, Torben; Cohen-Adad, Julien; Cardoso, Manuel Jorge; Wheeler-Kingshott, Claudia Angela Gandini; Fieremans, Els; Alexander, Daniel C; Novikov, Dmitry S; ",Magnitude versus complex-valued images for spinal cord diffusion MRI: which one is best,Proceedings of the 26th Annual Meeting of ISMRM,466,,,2018,
"Nguyen, Long H; Drew, David A; Joshi, Amit D; Guo, Chuan-Guo; Ma, Wenjie; Mehta, Raaj S; Sikavi, Daniel R; Lo, Chun-Han; Kwon, Sohee; Song, Mingyang; ",Risk of symptomatic Covid-19 among frontline healthcare workers,medRxiv,,,,2020,Cold Spring Harbor Laboratory Press
"Orasanu, Eliza; Melbourne, Andrew; Modat, Marc; Lorenzi, Marco; Lombaert, Herve; Eaton-Rosen, Zach; Robertson, Nicola; Kendall, Giles; Marlow, Neil; Ourselin, Sebastien; ",Mapping longitudinal white matter changes in extremely preterm born infants,Imaging (SAMI),,,35-44,2015,
"Mufti, N; Ebner, M; Humphries, P; Gaunt, T; Patel, P; Bredaki, E; Hewitt, R; Sokolska, M; Kendall, G; Atkinson, D; ",VP20. 10: Use of super resolution reconstruction MRI for surgical planning in a fetus with congenital high airway obstruction syndrome: a case report,Ultrasound in Obstetrics & Gynecology,56,,140-140,2020,Wiley Online Library
"Schneider, C; Thompson, S; Totz, J; Song, Y; Johnsen, S; Stoyanov, D; Ourselin, S; Gurusamy, K; Hawkes, D; Clarkson, M; ",PTH-103 Evaluation of a novel system for image guided laparoscopic liver surgery in an animal model and first clinical experience,,,,,2015,BMJ Publishing Group
"Cardoso, M Jorge; Arbel, Tal; Luo, Xiongbiao; Wesarg, Stefan; Reichl, Tobias; Ballester, Miguel Ángel González; McLeod, Jonathan; Drechsler, Klaus; Peters, Terry; Erdt, Marius; ","Computer Assisted and Robotic Endoscopy and Clinical Image-Based Procedures: 4th International Workshop, CARE 2017, and 6th International Workshop, CLIP 2017, Held in Conjunction with MICCAI 2017, Québec City, QC, Canada, September 14, 2017, Proceedings",,10550,,,2017,Springer
"Premi, Enrico; Grassi, Mario; Van Swieten, John; Galimberti, Daniela; Graff, Caroline; Masellis, Mario; Tartaglia, Carmela; Tagliavini, Fabrizio; Rowe, James B; Laforce Jr, Robert; ",Cognitive reserve and TMEM106B genotype modulate brain damage in presymptomatic frontotemporal dementia: a GENFI study,Brain,140,6,1784-1791,2017,Oxford University Press
"Kunpalin, Yada; Richter, Jute; Mufti, Nada; Bosteels, Jan; Ourselin, Sebastien; De Coppi, P; Thompson, D; David, AL; Deprest, J; ",Cranial findings detected by second‐trimester ultrasound in fetuses with myelomeningocele: a systematic review,BJOG: An International Journal of Obstetrics & Gynaecology,128,2,366-374,2021,Wiley Online Library
"Mufti, Nada; Aertsen, Michael; Ebner, Michael; Fidon, Lucas; Vercauteren, Tom; De Catte, Luc; Demaerel, Philippe; Deprest, Jan; Ourselin, Sebastien; David, Anna L; ",Cortical Surface Spectral Matching of the Fetal Brain Pre and Post Fetal Surgery for Open Spina Bifida,,,,,,
"Gu, Ran; Wang, Guotai; Song, Tao; Huang, Rui; Aertsen, Michael; Deprest, Jan; Ourselin, Sébastien; Vercauteren, Tom; Zhang, Shaoting; ",CA-Net: Comprehensive attention convolutional neural networks for explainable medical image segmentation,IEEE transactions on medical imaging,40,2,699-711,2020,IEEE
"Antonelli, Michela; Johnston, Edward W; Ourselin, Sebastien; Punwani, Shonit; ",mpMRI-based Machine-Learning Classifier Comparison for Gleason 4 Pattern Detection in Transition Zone and Peripheral Zone Prostate Lesions,,,,,,
"Dorent, Reuben; Joutard, Samuel; Shapey, Jonathan; Bisdas, Sotirios; Kitchen, Neil; Bradford, Robert; Saeed, Shakeel; Modat, Marc; Ourselin, Sébastien; Vercauteren, Tom; ",Scribble-based domain adaptation via co-segmentation,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2020: 23rd International Conference, Lima, Peru, October 4–8, 2020, Proceedings, Part I 23",,,479-489,2020,Springer
"Galati, Francesco; Ourselin, Sébastien; Zuluaga, Maria A; ",From accuracy to reliability and robustness in cardiac magnetic resonance image segmentation: a review,Applied Sciences,12,8,3936,2022,MDPI
"Schott, Jonathan M; Cash, David M; Lane, Christopher A; Parker, Thomas; Burgos, Ninon; Modat, Marc; Beasley, Daniel; Dickson, John; Barnes, Anna; Thomas, David L; ",[P3–348]: EXPLORING THE POPULATION PREVALENCE OF β‐AMYLOID BURDEN: AN ANALYSIS OF 250 INDIVIDUALS BORN IN MAINLAND BRITAIN IN THE SAME WEEK IN 1946,Alzheimer's & Dementia,13,7S_Part_22,P1088-P1089,2017,Wiley Online Library
"Singleton, Ellen H; Pijnenburg, Yolande AL; Sudre, Carole H; Kochova, Elena; Groot, Colin; Papma, Janne M; Ourselin, Sebastien; van Swieten, John C; Barkhof, Frederik; Cardoso, M Jorge; ","O3‐13‐01: PATTERNS OF GLUCOSE HYPOMETABOLISM, SUBCORTICAL ATROPHY AND WHITE MATTER HYPERINTENSITIES IN THE BEHAVIORAL VARIANT OF ALZHEIMER'S DISEASE",Alzheimer's & Dementia,14,7S_Part_19,P1054-P1055,2018,Wiley Online Library
"Kujawa, Aaron; Dorent, Reuben; Connor, Steve; Thomson, Suki; Ivory, Marina; Vahedi, Ali; Guilhem, Emily; Bradford, Robert; Kitchen, Neil; Bisdas, Sotirios; ",Deep Learning for Automatic Segmentation of Vestibular Schwannoma: A Retrospective Study from Multi-Centre Routine MRI,medRxiv,,,2022.08. 01.22278193,2022,Cold Spring Harbor Laboratory Press
"Norris, Francesca C; Cleary, Jon O; Modat, Marc; Sinclair, Benjamin; Mccue, Karen; Wells, Jack A; Martinez-Barbera, Juan Pedro; Brander, Sebastien; Fisher, Elizabeth; Scambler, Peter J; ",Mouse phenotyping using high resolution 3D microscopic magnetic resonance imaging,GENETICS RESEARCH,93,6,440-440,2011,CAMBRIDGE UNIV PRESS
"Clarkson, Matthew J; Cardoso, M Jorge; Ridgway, Gerard R; Modat, Marc; Leung, Kelvin K; Rohrer, Jonathan D; Fox, Nick C; Ourselin, Sébastien; ",A comparison of voxel and surface based cortical thickness estimation methods,Neuroimage,57,3,856-865,2011,Elsevier
"Visconti, Alessia; Bataille, Veronique; Rossi, Niccolò; Kluk, Justine; Murphy, Ruth; Puig, Susana; Nambi, Rabi; Bowyer, Ruth CE; Murray, Benjamin; Bournot, Abigail; ",Diagnostic value of cutaneous manifestation of SARS‐CoV‐2 infection,British journal of dermatology,184,5,880-887,2021,"Blackwell Publishing Ltd Oxford, UK"
"Atkinson, D; Hansen, MS; Modat, M; Ourselin, S; Rensen, TS; Taylor, Z; ","Commodity graphics cards for image registration, biomechanical modelling and cardiac imaging",,,,,2008,
"Ourselin, Sebastien; Alexander, Daniel C; Westin, Carl-Fredrik; Cardoso, M Jorge; ","Information Processing in Medical Imaging: 24th International Conference, IPMI 2015, Sabhal Mor Ostaig, Isle of Skye, UK, June 28-July 3, 2015, Proceedings",,9123,,,2015,Springer
"Acosta, Oscar; Bourgeat, Pierrick; Fripp, Jurgen; Bonner, Erik; Ourselin, Sébastien; Salvado, Olivier; ",Automatic delineation of sulci and improved partial volume classification for accurate 3D voxel-based cortical thickness estimation from MR,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2008: 11th International Conference, New York, NY, USA, September 6-10, 2008, Proceedings, Part I 11",,,253-261,2008,Springer
"Dos Santos, Gustavo Sato; Maneas, Efthymios; Nikitichev, Daniil; Barburas, Anamaria; David, Anna L; Deprest, Jan; Desjardins, Adrien; Vercauteren, Tom; Ourselin, Sebastien; ",A registration approach to endoscopic laser speckle contrast imaging for intrauterine visualisation of placental vessels,"Medical Image Computing and Computer-Assisted Intervention--MICCAI 2015: 18th International Conference, Munich, Germany, October 5-9, 2015, Proceedings, Part I 18",,,455-462,2015,Springer
"Klaser, Kerstin; Borges, Pedro; Shaw, Richard; Ranzini, Marta; Modat, Marc; Atkinson, David; Thielemans, Kris; Hutton, Brian; Goh, Vicky; Cook, Gary; ",A multi-channel uncertainty-aware multi-resolution network for MR to CT synthesis,Applied Sciences,11,4,1667,2021,MDPI
"Passenger, Josh; Acosta, Oscar; de Visser, Hans; Bauer, Sebastian; Russ, Christoph; Ourselin, Sébastien; ",Texture coordinate generation of colonic surface meshes for surgical simulation,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,640-643,2008,IEEE
"Taylor, Zeike A; Crozier, Stuart; Ourselin, Sébastien; ",A reduced order explicit dynamic finite element algorithm for surgical simulation,IEEE transactions on medical imaging,30,9,1713-1721,2011,IEEE
"Mahoney, Colin; Mahoney, Ian; Ourselin, Sebastien; Fox, Nick; Warren, Jason; ",Profiles of white matter degeneration in sporadic and familial frontotemporal dementia,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,33,,152-152,2012,"KARGER ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND"
"Xia, Wenfeng; Mari, Jean Martial; West, Simeon J; Ginsberg, Yuval; David, Anna L; Ourselin, Sebastien; Desjardins, Adrien E; ",In‐plane ultrasonic needle tracking using a fiber‐optic hydrophone,Medical physics,42,10,5983-5991,2015,Wiley Online Library
"MCCLELLAND, J; Hughes, S; Modat, M; Ahmad, S; Landau, D; Ourselin, S; Hawkes, D; ",Study of inter-fraction variations in respiratory motion using deformable registration based motion models,Proceedings of the 16th International Conference on the use of Computers in Radiation therapy (ICCR) 2010,,,,2010,
"Ourselin, Sebastien; Zombori, Gergely; Nowell, Mark; Sparks, Rachel; Duncan, John; Rodionov, Roman; McEvoy, Andrew; Miserocchi, Anna; Diehl, Beate; Wehner, Tim; ",System and method for computer-assisted planning of a trajectory for a surgical insertion into a skull,,,,,2019,Google Patents
"Lane, Christopher A; Sudre, Carole H; Barnes, Jo; Nicholas, Jennifer M; Hardy, Rebecca; Parker, Thomas D; Murray-Smith, Heidi; Keshavan, Ashvini; Cash, David M; Malone, Ian B; ",Influences of blood pressure and blood pressure trajectories on cerebral pathology at age 70: results from a british birth cohort,Alzheimer's & Dementia,14,7,P626-P627,2018,
"Smith, Lorna A; Melbourne, Andrew; Owen, David; Cardoso, M Jorge; Sudre, Carole H; Tillin, Therese; Sokolska, Magdalena; Atkinson, David; Chaturvedi, Nish; Ourselin, Sebastien; ","Cortical cerebral blood flow in ageing: effects of haematocrit, sex, ethnicity and diabetes",European radiology,29,,5549-5558,2019,Springer
"Kazantsev, Daniil; Ourselin, Sébastien; Hutton, Brian F; Dobson, Katherine J; Kaestner, Anders P; Lionheart, William RB; Withers, Philip J; Lee, Peter D; Arridge, Simon R; ",A novel technique to incorporate structural prior information into multi-modal tomographic reconstruction,Inverse Problems,30,6,065004,2014,IOP Publishing
"Devreker, Alain; Rosa, Benoît; Qian, Jun; Vercauteren, Tom; Ourselin, Sebastien; Vander Poorten, Emmanuel; Reynaerts, Dominiek; ",Design and validation of pneumatically actuated fetoscope,Proceedings of the 5th Joint Workshop on New Technologies for Computer/Robot Assisted Surgery,,,127-129,2015,
"Shaw, Richard; Sudre, Carole H; Ourselin, Sebastien; Cardoso, M Jorge; ",Estimating MRI Image Quality via Image Reconstruction Uncertainty,arXiv preprint arXiv:2106.10992,,,,2021,
"Granados, Alejandro; Sparks, Rachel; Ourselin, Sebastien; ",Method for identifying electrode contacts implanted into the brain of a subject,,,,,2021,Google Patents
"Battiston, Marco; Grussu, Francesco; Ianus, Andrada; Schneider, Torben; Prados, Ferran; Fairney, James; Ourselin, Sebastien; Alexander, D; Cercignani, Mara; Wheeler-Kingshott, C; ",Optimal framework for quantitative magnetization transfer imaging of small structures,,,,,2017,International Society for Magnetic Resonance in Medicine (ISMRM)
"Leung, Kelvin Ka-fai; Clarkson, Matthew; Fox, Nick C; Ourselin, Sebastien; ",Robust intensity normalisation and automatic intensity window selection for the calculation of the boundary shift integral,Proc. Intl. Soc. Mag. Reson. Med,17,,3348,2009,
"Cardoso, M Jorge; Simpson, Ivor; Arbel, Tal; Precup, Doina; Ribbens, Annemie; ",Bayesian and grAphical Models for Biomedical Imaging,,,,,,Springer
"Menni, Cristina; Valdes, Ana M; Freidin, Maxim B; Sudre, Carole H; Nguyen, Long H; Drew, David A; Ganesh, Sajaysurya; Varsavsky, Thomas; Cardoso, M Jorge; El-Sayed Moustafa, Julia S; ",Real-time tracking of self-reported symptoms to predict potential COVID-19,Nature medicine,26,7,1037-1040,2020,Nature Publishing Group
"Brownlee, WJ; Da Mota, P Alves; Prados, F; Solanky, B; Riemer, F; Cardoso, MJ; Ourselin, S; Golay, X; Wheeler-Kingshott, CAMG; Miller, DH; ",Increased cortical and deep grey matter sodium concentration is associated with physical and cognitive disability in relapse-onset multiple sclerosis.,,,,,2016,32nd Congress of the European-Committee-for-Treatment-and-Research-in …
"Magerkurth, Joerg; Mancini, Laura; Penny, William; Flandin, Guillaume; Ashburner, John; Micallef, Caroline; De Vita, Enrico; Daga, Pankaj; White, Mark J; Buckley, Craig; ",Objective Bayesian fMRI analysis—a pilot study in different clinical environments,Frontiers in Neuroscience,9,,168,2015,Frontiers Media SA
